PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Q8BG07;Q8BG07-2,3.769142866,1.574092507,Filtered,18.42645836,3.841305733,9.997175217,5.948063374,Filtered
Q8BG32,53.25481033,93.11891174,48.36024475,77.16333771,53.41991425,78.48045349,46.87047195,Filtered
Q8BG51;Q8BG51-2;Q8BG51-3;Q8BG51-4,52.88945007,37.57359695,47.57289124,27.60196686,44.76895523,29.49535561,47.56738281,Filtered
Q8BGA8,95.06791687,23.37542725,88.3114624,20.78224182,97.98326111,34.63621902,93.54494476,Filtered
Q8BGB7;Q8BGB7-2,14.35378075,5.042111874,9.461374283,5.819901943,3.512911797,4.726232052,4.975443363,Filtered
Q8BGC4,78.45706177,45.93210983,74.36911011,33.38143158,83.64498901,44.50201416,62.97385406,Filtered
Q8BGD8,11.39133549,6.419244289,6.862175465,NaN,6.609242439,1.973369956,7.405422688,Filtered
Q8BGD9,152.2118073,134.410553,148.0001373,126.1246262,146.0172272,161.734726,141.1412964,Filtered
Q8BGG9;Q8BGG9-2,41.54610825,35.62705231,45.05163574,16.97081566,55.65164948,33.52332306,38.29095459,Filtered
Q8BGH2,139.4347992,75.14404297,163.1360321,157.9562378,126.0546875,82.12561035,96.61233521,Filtered
Q8BGJ5;Q922I7,130.8935394,292.0591125,120.9146576,234.999176,126.1946869,215.5140228,107.2300415,Filtered
Q8BGN3,11.88584328,4.083321095,11.24584007,4.182902813,11.03985405,4.142978668,8.1158638,Filtered
Q8BGQ7,55.49407959,110.0847626,49.34445953,86.85432434,50.98655319,83.49731445,58.7709198,Filtered
Q8BGR9;Q8BGR9-2,5.980064869,3.811303139,6.938640594,11.08866787,4.404643059,9.011638641,6.491951942,Filtered
Q8BGS0;Q8BGS0-2,Filtered,3.041477203,Filtered,0.942422509,Filtered,1.50354588,Filtered,Filtered
